team_name,season,W,L,D,GF,GA,GD,points,place,annual_wage_bill,annual_transfer_spend,prev_annual_transfer_spend,lat,lon
Liverpool FC,2018/2019,30,1,7,89,22,67,97,2,146157975.96153846,182470000,173879000.0,53.430819,-2.960828
Liverpool FC,2019/2020,32,3,3,85,33,52,99,1,130466577.14285713,2055000,182470000.0,53.430819,-2.960828
Liverpool FC,2020/2021,20,9,9,68,42,26,69,3,147292989.6226415,85045000,2055000.0,53.430819,-2.960828
Liverpool FC,2021/2022,28,2,8,94,26,68,92,2,158000599.0825688,94326000,85045000.0,53.430819,-2.960828
Liverpool FC,2022/2023,19,9,10,75,47,28,67,5,158219230.25210086,145915000,94326000.0,53.430819,-2.960828
Liverpool FC,2023/2024,24,4,10,86,41,45,82,3,126980648.03149606,172092000,145915000.0,53.430819,-2.960828
Newcastle United FC,2014/2015,10,19,9,40,63,-23,39,15,39036221.0,45371000,0.0,54.975556,-1.621667
Newcastle United FC,2015/2016,9,19,10,44,65,-21,37,18,58739775.0,108215000,45371000.0,54.975556,-1.621667
Newcastle United FC,2017/2018,12,18,8,39,47,-8,44,12,49361656.8627451,46934000,,54.975556,-1.621667
Newcastle United FC,2018/2019,12,17,9,42,48,-6,45,14,57157104.807692304,60100000,46934000.0,54.975556,-1.621667
Newcastle United FC,2019/2020,11,16,11,38,58,-20,44,13,76449078.09523809,67992000,60100000.0,54.975556,-1.621667
Newcastle United FC,2020/2021,12,17,9,46,62,-16,45,13,64742762.26415094,38874000,67992000.0,54.975556,-1.621667
Newcastle United FC,2021/2022,13,15,10,44,62,-18,49,11,75022166.97247706,130684000,38874000.0,54.975556,-1.621667
Newcastle United FC,2022/2023,19,5,14,68,33,35,71,4,80912757.14285715,185126000,130684000.0,54.975556,-1.621667
Newcastle United FC,2023/2024,18,14,6,85,62,23,60,7,78757081.88976377,148315000,185126000.0,54.975556,-1.621667
Burnley FC,2014/2015,7,19,12,28,53,-25,33,19,18581349.0,12819000,0.0,53.789167,-2.230278
Burnley FC,2016/2017,11,20,7,39,55,-16,40,17,29115273.0,45967000,,53.789167,-2.230278
Burnley FC,2017/2018,14,12,12,36,39,-3,54,7,38065028.431372546,35883000,45967000.0,53.789167,-2.230278
Burnley FC,2018/2019,11,20,7,45,68,-23,40,15,50756241.34615385,33093000,35883000.0,53.789167,-2.230278
Burnley FC,2019/2020,15,14,9,43,50,-7,54,9,50507956.19047619,13910000,33093000.0,53.789167,-2.230278
Burnley FC,2020/2021,10,19,9,33,55,-22,39,17,41347119.81132075,1161000,13910000.0,53.789167,-2.230278
Burnley FC,2021/2022,7,17,14,34,53,-19,35,18,43238677.06422018,49431000,1161000.0,53.789167,-2.230278
Burnley FC,2023/2024,5,24,9,41,78,-37,24,19,35888996.8503937,111297000,,53.789167,-2.230278
Aston Villa FC,2014/2015,10,20,8,31,57,-26,38,16,39496548.0,13698000,0.0,52.509167,-1.884722
Aston Villa FC,2015/2016,3,27,8,27,76,-49,17,20,44400378.0,66904000,13698000.0,52.509167,-1.884722
Aston Villa FC,2019/2020,9,21,8,41,67,-26,35,17,58094937.14285714,148690000,,52.509167,-1.884722
Aston Villa FC,2020/2021,16,15,7,55,46,9,55,11,69880943.3962264,101495000,148690000.0,52.509167,-1.884722
Aston Villa FC,2021/2022,13,19,6,52,54,-2,45,14,78216926.60550459,130077000,101495000.0,52.509167,-1.884722
Aston Villa FC,2022/2023,18,13,7,51,46,5,61,7,98283856.30252102,113362000,130077000.0,52.509167,-1.884722
Aston Villa FC,2023/2024,20,10,8,76,61,15,68,4,109188072.44094488,93122000,113362000.0,52.509167,-1.884722
Chelsea FC,2014/2015,26,3,9,73,32,41,87,1,124794741.0,138432000,0.0,51.481667,-0.191111
Chelsea FC,2015/2016,12,12,14,59,53,6,50,10,119183724.0,97207000,138432000.0,51.481667,-0.191111
Chelsea FC,2016/2017,30,5,3,85,33,52,93,1,117603578.0,133359000,97207000.0,51.481667,-0.191111
Chelsea FC,2017/2018,21,10,7,62,38,24,70,5,142244907.84313726,261308000,133359000.0,51.481667,-0.191111
Chelsea FC,2018/2019,21,8,9,63,39,24,72,3,180612772.1153846,209395000,261308000.0,51.481667,-0.191111
Chelsea FC,2019/2020,20,12,6,69,54,15,66,3,135895588.57142857,45361000,209395000.0,51.481667,-0.191111
Chelsea FC,2020/2021,19,9,10,58,36,22,67,4,166297507.5471698,247884000,45361000.0,51.481667,-0.191111
Chelsea FC,2021/2022,21,6,11,76,33,43,74,3,192440556.88073394,118497000,247884000.0,51.481667,-0.191111
Chelsea FC,2022/2023,11,16,11,38,47,-9,44,12,185647283.19327733,630494000,118497000.0,51.481667,-0.191111
Chelsea FC,2023/2024,18,11,9,77,63,14,63,6,146367007.08661416,464403000,630494000.0,51.481667,-0.191111
Crystal Palace FC,2014/2015,13,16,9,47,51,-4,48,10,37809069.0,31638000,0.0,51.398333,-0.085556
Crystal Palace FC,2015/2016,11,18,9,39,51,-12,42,15,64623888.0,28961000,31638000.0,51.398333,-0.085556
Crystal Palace FC,2016/2017,12,21,5,50,63,-13,41,14,86125830.0,101435000,28961000.0,51.398333,-0.085556
Crystal Palace FC,2017/2018,11,16,11,45,55,-10,44,10,79552249.01960784,56088000,101435000.0,51.398333,-0.085556
Crystal Palace FC,2018/2019,14,17,7,51,53,-2,49,12,85659399.03846154,11974000,56088000.0,51.398333,-0.085556
Crystal Palace FC,2019/2020,11,17,10,31,50,-19,43,14,84376792.38095237,7782000,11974000.0,51.398333,-0.085556
Crystal Palace FC,2020/2021,12,18,8,41,66,-25,44,14,99832290.56603773,22515000,7782000.0,51.398333,-0.085556
Crystal Palace FC,2021/2022,11,12,15,50,46,4,48,12,79814306.42201835,85688000,22515000.0,51.398333,-0.085556
Crystal Palace FC,2022/2023,11,15,12,40,49,-9,45,11,65268610.084033616,46814000,85688000.0,51.398333,-0.085556
Crystal Palace FC,2023/2024,13,15,10,57,58,-1,49,10,64357118.11023622,38730000,46814000.0,51.398333,-0.085556
Swansea City AFC,2014/2015,16,14,8,46,49,-3,56,8,35799598.0,41778000,0.0,51.6422,-3.9351
Swansea City AFC,2015/2016,12,15,11,42,52,-10,47,12,48432439.0,22109000,41778000.0,51.6422,-3.9351
Swansea City AFC,2016/2017,12,21,5,45,70,-25,41,15,47378211.0,58367000,22109000.0,51.6422,-3.9351
Swansea City AFC,2017/2018,8,21,9,28,56,-28,33,19,55855287.25490196,73604000,58367000.0,51.6422,-3.9351
Southampton FC,2014/2015,18,14,6,54,33,21,60,7,50751976.0,96281000,0.0,50.905833,-1.391111
Southampton FC,2015/2016,18,11,9,59,41,18,63,6,51260009.0,60251000,96281000.0,50.905833,-1.391111
Southampton FC,2016/2017,12,16,10,41,48,-7,46,9,69493133.0,68931000,60251000.0,50.905833,-1.391111
Southampton FC,2017/2018,7,16,15,37,56,-19,36,17,79589667.64705881,61429000,68931000.0,50.905833,-1.391111
