team_name,season,W,L,D,GF,GA,GD,points,place,annual_wage_bill,annual_transfer_spend,prev_annual_transfer_spend
Chelsea FC,2015/2016,12,12,14,59,53,6,50,10,119183724.0,97207000,138432000.0
Chelsea FC,2016/2017,30,5,3,85,33,52,93,1,117603578.0,133359000,97207000.0
Chelsea FC,2017/2018,21,10,7,62,38,24,70,5,145089806.0,261308000,133359000.0
Chelsea FC,2018/2019,21,8,9,63,39,24,72,3,187837283.0,209395000,261308000.0
Chelsea FC,2019/2020,20,12,6,69,54,15,66,3,142690368.0,45361000,209395000.0
Chelsea FC,2020/2021,19,9,10,58,36,22,67,4,176275358.0,247884000,45361000.0
Chelsea FC,2021/2022,21,6,11,76,33,43,74,3,209760207.0,118497000,247884000.0
Chelsea FC,2022/2023,11,16,11,38,47,-9,44,12,220920267.0,630494000,118497000.0
Chelsea FC,2023/2024,18,11,9,77,63,14,63,6,185886099.0,464403000,630494000.0
Crystal Palace FC,2015/2016,11,18,9,39,51,-12,42,15,64623888.0,28961000,31638000.0
Crystal Palace FC,2016/2017,12,21,5,50,63,-13,41,14,86125830.0,101435000,28961000.0
Crystal Palace FC,2017/2018,11,16,11,45,55,-10,44,10,81143294.0,56088000,101435000.0
Crystal Palace FC,2018/2019,14,17,7,51,53,-2,49,12,89085775.0,11974000,56088000.0
Crystal Palace FC,2019/2020,11,17,10,31,50,-19,43,14,88595632.0,7782000,11974000.0
Crystal Palace FC,2020/2021,12,18,8,41,66,-25,44,14,105822228.0,22515000,7782000.0
Crystal Palace FC,2021/2022,11,12,15,50,46,4,48,12,86997594.0,85688000,22515000.0
Crystal Palace FC,2022/2023,11,15,12,40,49,-9,45,11,77669646.0,46814000,85688000.0
Crystal Palace FC,2023/2024,13,15,10,57,58,-1,49,10,81733540.0,38730000,46814000.0
Swansea City AFC,2015/2016,12,15,11,42,52,-10,47,12,48432439.0,22109000,41778000.0
Swansea City AFC,2016/2017,12,21,5,45,70,-25,41,15,47378211.0,58367000,22109000.0
Swansea City AFC,2017/2018,8,21,9,28,56,-28,33,19,56972393.0,73604000,58367000.0
Southampton FC,2015/2016,18,11,9,59,41,18,63,6,51260009.0,60251000,96281000.0
Southampton FC,2016/2017,12,16,10,41,48,-7,46,9,69493133.0,68931000,60251000.0
Southampton FC,2017/2018,7,16,15,37,56,-19,36,17,81181461.0,61429000,68931000.0
Southampton FC,2018/2019,9,17,12,45,65,-20,39,16,86478237.0,62439000,61429000.0
Southampton FC,2019/2020,15,16,7,51,60,-9,52,11,63849914.0,61743000,62439000.0
Southampton FC,2020/2021,12,19,7,47,68,-21,43,15,68195619.0,37682000,61743000.0
